Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount
12.0,12.0,1,Fashion,3,Married,3,0,6.0,182.37
8.0,12.0,5,Laptop & Accessory,1,Married,3,0,14.0,164.86
0.0,31.0,3,Mobile,1,Single,2,1,1.0,127.95
4.0,8.0,4,Laptop & Accessory,5,Divorced,4,0,0.0,164.1
3.0,13.0,4,Mobile,1,Married,3,0,9.0,156.31
13.0,8.0,3,Others,3,Married,1,0,9.0,294.36
24.0,11.0,4,Others,4,Married,5,0,7.0,316.44
16.0,36.0,4,Laptop & Accessory,3,Married,4,0,3.0,170.56
25.0,8.0,4,Others,3,Single,2,1,12.0,290.68
11.0,10.0,3,Mobile,3,Married,8,0,0.0,133.06
8.0,34.0,4,Mobile,4,Single,4,0,3.0,148.11
1.0,12.0,4,Mobile,4,Single,3,1,1.0,143.78
4.0,10.0,4,Mobile,3,Married,3,0,1.0,145.83
4.0,9.0,3,Mobile,5,Married,2,1,3.0,130.65
6.0,11.0,4,Mobile,1,Married,2,0,2.0,129.11
12.0,9.0,2,Laptop & Accessory,4,Divorced,10,0,6.0,163.89
14.0,33.0,4,Laptop & Accessory,5,Divorced,3,0,6.0,208.96
14.0,9.0,4,Laptop & Accessory,2,Single,3,0,9.0,171.61
7.0,14.0,3,Laptop & Accessory,5,Married,4,0,0.0,151.21
17.0,34.0,3,Grocery,5,Divorced,4,0,17.0,263.28
16.0,10.0,2,Laptop & Accessory,2,Divorced,4,1,4.0,177.31
1.0,16.0,5,Mobile,3,Married,2,1,1.0,158.88
1.0,25.0,4,Mobile,5,Married,2,0,3.0,131.96
31.0,12.0,5,Fashion,4,Married,4,1,7.0,230.52
23.0,23.0,4,Mobile,5,Married,6,1,3.0,150.87
27.0,8.0,5,Grocery,3,Married,6,1,3.0,254.65
12.0,16.0,4,Mobile,1,Married,4,0,4.0,172.71
8.0,7.0,2,Laptop & Accessory,1,Married,2,0,4.0,222.25
1.0,6.0,5,Mobile,3,Single,2,0,0.0,113.59
8.0,8.0,4,Laptop & Accessory,1,Married,11,0,2.0,179.84
1.0,17.0,5,Mobile,5,Single,8,1,1.0,149.04
21.0,9.0,4,Mobile,3,Single,6,0,1.0,149.79
6.0,9.0,4,Laptop & Accessory,4,Divorced,2,1,3.0,165.78
1.0,14.0,4,Mobile,2,Married,2,0,4.0,149.36
1.0,32.0,5,Mobile,4,Divorced,7,0,2.0,150.46
15.0,9.0,4,Grocery,4,Single,3,0,5.0,285.15
12.0,13.0,5,Laptop & Accessory,3,Married,4,0,8.0,178.21
30.0,8.0,4,Grocery,2,Single,4,1,3.0,237.26
12.0,22.0,5,Fashion,1,Married,2,1,10.0,240.1
18.0,10.0,5,Fashion,3,Married,5,0,3.0,197.56
5.0,11.0,4,Laptop & Accessory,1,Single,9,0,0.0,196.79
15.0,18.0,3,Laptop & Accessory,1,Married,4,1,0.0,150.87
13.0,16.0,4,Laptop & Accessory,4,Married,8,0,3.0,168.52
14.0,16.0,4,Laptop & Accessory,3,Married,5,0,8.0,164.75
6.0,31.0,3,Laptop & Accessory,3,Divorced,2,0,1.0,145.39
27.0,8.0,3,Fashion,3,Married,10,0,3.0,235.49
6.0,20.0,5,Mobile,4,Married,3,0,3.0,159.0
3.0,30.0,3,Mobile,3,Married,2,0,0.0,126.93
15.0,13.0,4,Mobile,5,Married,1,1,8.0,125.93
26.0,9.0,3,Grocery,3,Divorced,4,1,3.0,275.84
0.0,17.0,2,Laptop & Accessory,3,Divorced,9,0,2.0,147.07
5.0,9.0,5,Laptop & Accessory,5,Married,5,0,1.0,189.1
1.0,11.0,5,Laptop & Accessory,2,Single,3,1,5.0,183.28
7.0,13.0,3,Mobile,4,Married,2,1,3.0,123.42
5.0,14.0,3,Laptop & Accessory,2,Divorced,6,0,8.0,194.29
22.0,11.0,3,Laptop & Accessory,3,Married,3,0,2.0,166.51
13.0,17.0,4,Grocery,5,Divorced,3,1,11.0,295.68
2.0,15.0,3,Mobile,3,Married,10,0,2.0,129.74
25.0,6.0,3,Grocery,2,Divorced,3,0,8.0,270.99
20.0,8.0,3,Laptop & Accessory,1,Married,6,0,4.0,150.7
29.0,25.0,4,Grocery,4,Single,5,0,8.0,293.35
1.0,14.0,4,Mobile,1,Married,3,1,3.0,147.75
5.0,6.0,4,Mobile,3,Married,7,0,7.0,122.58
8.0,22.0,3,Fashion,3,Divorced,5,1,0.0,176.32
0.0,16.0,4,Mobile,3,Single,2,0,0.0,112.0
21.0,11.0,4,Laptop & Accessory,2,Single,3,1,8.0,166.63
8.0,12.0,3,Mobile,3,Married,1,1,2.0,135.06
13.0,29.0,4,Fashion,5,Single,3,1,9.0,233.8
19.0,8.0,4,Fashion,4,Married,3,0,8.0,199.41
10.0,11.0,3,Laptop & Accessory,2,Married,8,0,4.0,163.47
9.0,7.0,5,Fashion,5,Married,3,1,7.0,202.52
17.0,8.0,1,Fashion,1,Married,2,1,7.0,178.79
5.0,7.0,4,Laptop & Accessory,5,Divorced,3,0,4.0,166.48
25.0,9.0,4,Fashion,3,Divorced,3,1,4.0,179.69
10.0,31.0,4,Laptop & Accessory,4,Divorced,9,0,9.0,181.74
21.0,21.0,4,Laptop & Accessory,4,Married,10,0,8.0,179.67
31.0,13.0,4,Mobile,3,Married,10,0,3.0,147.67
13.0,22.0,3,Mobile,3,Married,10,0,0.0,135.44
1.0,12.0,4,Others,3,Married,8,0,1.0,308.03
0.0,12.0,4,Mobile,3,Single,2,0,2.0,126.25
1.0,23.0,6,Mobile,5,Married,3,1,1.0,148.07
10.0,31.0,4,Laptop & Accessory,2,Married,8,0,3.0,157.31
0.0,12.0,4,Mobile,1,Single,2,1,0.0,124.39
5.0,34.0,3,Mobile,1,Married,5,0,3.0,121.32
3.0,9.0,4,Laptop & Accessory,1,Married,3,0,4.0,213.53
1.0,25.0,2,Laptop & Accessory,3,Divorced,4,0,3.0,187.32
15.0,8.0,1,Laptop & Accessory,5,Divorced,8,0,3.0,162.72
4.0,8.0,3,Mobile,3,Married,2,0,3.0,134.77
10.0,7.0,4,Laptop & Accessory,2,Single,6,0,1.0,191.53
8.0,9.0,4,Mobile,3,Married,8,0,3.0,147.31
17.0,13.0,5,Laptop & Accessory,3,Single,3,1,9.0,165.81
11.0,12.0,4,Mobile,4,Single,2,0,3.0,124.4
1.0,16.0,3,Laptop & Accessory,3,Single,4,0,7.0,136.6
1.0,14.0,4,Mobile,4,Single,2,0,0.0,112.61
5.0,36.0,5,Laptop & Accessory,1,Married,3,0,8.0,179.68
3.0,13.0,3,Mobile,4,Single,1,0,2.0,129.83
7.0,8.0,3,Laptop & Accessory,2,Single,2,0,4.0,162.74
28.0,27.0,4,Laptop & Accessory,3,Single,5,0,4.0,173.69
0.0,12.0,3,Mobile,5,Single,3,0,3.0,129.6
19.0,9.0,4,Laptop & Accessory,4,Divorced,2,0,8.0,173.05
6.0,36.0,4,Mobile,3,Single,11,0,8.0,165.25
3.0,9.0,5,Laptop & Accessory,4,Divorced,4,0,1.0,191.44
7.0,12.0,4,Fashion,4,Divorced,8,0,9.0,243.78
5.0,26.0,3,Mobile,4,Married,1,1,4.0,121.48
2.0,7.0,4,Mobile,5,Married,3,0,3.0,160.91
12.0,34.0,4,Laptop & Accessory,5,Single,4,0,3.0,142.84
4.0,10.0,1,Mobile,3,Married,9,0,2.0,139.78
1.0,7.0,2,Fashion,4,Single,3,0,8.0,199.46
20.0,31.0,4,Mobile,1,Single,3,0,1.0,150.87
1.0,7.0,4,Laptop & Accessory,4,Married,3,0,5.0,188.97
1.0,35.0,5,Laptop & Accessory,3,Married,4,0,4.0,211.39
24.0,35.0,4,Grocery,5,Divorced,6,1,3.0,293.8
9.0,32.0,3,Laptop & Accessory,3,Married,7,0,2.0,153.47
12.0,8.0,1,Fashion,3,Single,1,0,7.0,178.8
1.0,11.0,5,Laptop & Accessory,1,Single,3,1,4.0,169.87
1.0,8.0,4,Mobile,4,Single,3,1,3.0,148.02
1.0,15.0,4,Mobile,3,Single,2,0,8.0,122.06
6.0,36.0,5,Mobile,4,Single,3,0,2.0,153.37
3.0,6.0,5,Mobile,3,Divorced,4,0,2.0,138.33
1.0,9.0,4,Mobile,1,Married,8,1,3.0,162.22
20.0,12.0,4,Laptop & Accessory,4,Married,3,1,3.0,175.21
1.0,15.0,3,Laptop & Accessory,2,Single,2,0,7.0,152.53
7.0,9.0,3,Mobile,2,Divorced,1,0,2.0,137.37
4.0,34.0,4,Laptop & Accessory,2,Married,9,0,8.0,178.04
16.0,9.0,6,Others,1,Married,3,0,10.0,323.45
12.0,7.0,4,Mobile,4,Married,2,1,3.0,154.91
28.0,24.0,4,Fashion,3,Married,10,0,9.0,232.39
31.0,10.0,5,Mobile,2,Divorced,5,0,1.0,146.77
1.0,20.0,4,Laptop & Accessory,3,Single,5,1,4.0,223.54
3.0,21.0,4,Fashion,5,Married,3,0,7.0,171.4
9.0,13.0,6,Laptop & Accessory,2,Single,3,0,9.0,191.46
14.0,9.0,4,Others,3,Divorced,2,0,13.0,305.41
14.0,7.0,4,Grocery,5,Married,4,0,17.0,293.23
1.0,7.0,5,Mobile,5,Divorced,3,1,1.0,148.19
13.0,14.0,3,Laptop & Accessory,1,Married,4,1,2.0,140.69
8.0,32.0,3,Fashion,1,Single,2,1,7.0,188.37
1.0,9.0,4,Mobile,3,Single,8,0,2.0,168.82
20.0,7.0,4,Others,1,Married,11,0,3.0,321.27
7.0,16.0,4,Mobile,2,Divorced,2,0,11.0,152.81
1.0,16.0,5,Mobile,5,Single,9,0,4.0,159.07
16.0,33.0,3,Fashion,5,Divorced,9,0,1.0,208.2
1.0,16.0,4,Mobile,1,Single,3,0,1.0,135.81
10.0,10.0,3,Mobile,3,Married,8,1,3.0,129.96
1.0,15.0,5,Mobile,4,Single,3,0,1.0,137.61
2.0,15.0,4,Mobile,1,Single,3,0,3.0,158.1
19.0,13.0,5,Fashion,1,Single,8,0,7.0,213.65
6.0,11.0,4,Fashion,1,Married,5,0,2.0,171.19
4.0,15.0,2,Fashion,5,Married,2,1,8.0,239.16000000000005
6.0,15.0,5,Laptop & Accessory,4,Married,3,1,10.0,177.28
10.0,25.0,3,Mobile,4,Married,5,0,0.0,130.22
1.0,27.0,3,Mobile,2,Divorced,2,0,2.0,127.13
7.0,9.0,5,Laptop & Accessory,5,Single,4,0,12.0,147.59
5.0,11.0,4,Laptop & Accessory,4,Married,4,0,5.0,158.78
16.0,18.0,4,Grocery,4,Married,2,0,9.0,243.36
5.0,14.0,4,Laptop & Accessory,4,Married,2,1,9.0,152.28
11.0,16.0,4,Mobile,1,Married,3,1,3.0,148.26
23.0,35.0,4,Grocery,3,Married,1,0,7.0,270.46
27.0,23.0,3,Fashion,3,Married,9,0,8.0,207.39
6.0,14.0,4,Laptop & Accessory,1,Married,6,0,4.0,217.04
29.0,7.0,4,Fashion,1,Married,5,0,7.0,227.39
1.0,16.0,5,Mobile,5,Single,2,1,3.0,148.21
6.0,12.0,3,Laptop & Accessory,1,Married,4,0,7.0,177.25
13.0,9.0,5,Laptop & Accessory,3,Single,3,0,11.0,170.53
24.0,17.0,5,Fashion,2,Single,8,0,7.0,229.96
5.0,19.0,3,Laptop & Accessory,1,Married,3,0,3.0,144.03
30.0,7.0,4,Laptop & Accessory,3,Married,3,0,10.0,188.06
20.0,13.0,4,Mobile,1,Married,10,1,0.0,123.8
5.0,9.0,3,Mobile,4,Married,4,1,3.0,122.77
0.0,35.0,4,Laptop & Accessory,3,Single,2,0,8.0,145.08
11.0,36.0,4,Fashion,4,Married,3,1,10.0,243.49
19.0,12.0,3,Mobile,1,Single,2,0,0.0,125.87
6.0,15.0,2,Laptop & Accessory,1,Married,3,0,9.0,187.09
9.0,23.0,4,Fashion,4,Divorced,2,0,10.0,205.2
15.0,23.0,2,Laptop & Accessory,5,Single,4,1,2.0,165.45
3.0,9.0,4,Laptop & Accessory,3,Divorced,3,0,3.0,171.49
0.0,26.0,3,Fashion,3,Married,4,0,0.0,198.24
1.0,22.0,2,Laptop & Accessory,5,Single,1,0,7.0,156.61
3.0,14.0,3,Fashion,3,Married,6,0,7.0,172.64
15.0,14.0,6,Others,3,Married,3,0,11.0,324.73
26.0,6.0,3,Laptop & Accessory,5,Single,8,0,10.0,183.81
14.0,12.0,3,Mobile,5,Single,3,1,17.0,147.21
3.0,31.0,3,Laptop & Accessory,3,Divorced,8,1,2.0,147.36
17.0,35.0,2,Mobile,3,Single,6,0,3.0,172.39
28.0,8.0,4,Fashion,3,Married,9,0,7.0,230.02
1.0,20.0,5,Laptop & Accessory,5,Married,7,1,3.0,186.34
25.0,13.0,3,Fashion,4,Single,8,0,0.0,204.45
4.0,11.0,3,Mobile,1,Married,1,1,3.0,148.21
8.0,10.0,4,Mobile,2,Divorced,2,0,3.0,162.37
12.0,10.0,3,Laptop & Accessory,3,Single,1,0,8.0,150.42
11.0,6.0,3,Fashion,3,Single,5,1,0.0,178.61
9.0,15.0,4,Laptop & Accessory,4,Married,3,1,2.0,188.47
13.0,31.0,4,Laptop & Accessory,1,Single,9,0,8.0,166.08
0.0,10.0,4,Laptop & Accessory,2,Single,2,1,4.0,158.28
13.0,28.0,6,Laptop & Accessory,3,Married,8,0,3.0,182.36
0.0,30.0,5,Mobile,1,Single,2,1,0.0,111.18
5.0,8.0,3,Mobile,1,Single,1,0,6.0,130.68
17.0,11.0,4,Mobile,3,Single,4,0,3.0,131.62
1.0,12.0,4,Mobile,2,Single,3,0,1.0,135.51
1.0,9.0,4,Mobile,5,Married,3,0,1.0,148.41
1.0,30.0,3,Mobile,4,Single,2,0,4.0,121.77
5.0,13.0,3,Mobile,1,Married,2,1,2.0,122.75
3.0,11.0,4,Mobile,1,Married,10,0,3.0,137.61
1.0,11.0,6,Fashion,1,Married,3,0,7.0,229.0
1.0,7.0,4,Laptop & Accessory,3,Divorced,3,0,8.0,177.96
3.0,9.0,5,Laptop & Accessory,4,Married,4,0,1.0,191.44
6.0,6.0,2,Grocery,3,Married,5,0,5.0,261.84
19.0,7.0,3,Mobile,5,Single,7,0,7.0,134.23
23.0,15.0,4,Fashion,4,Married,6,0,8.0,199.03
2.0,26.0,5,Mobile,5,Married,3,0,4.0,156.96
13.0,25.0,4,Laptop & Accessory,3,Single,2,0,8.0,170.34
28.0,12.0,4,Others,5,Divorced,6,0,3.0,319.06
15.0,35.0,5,Laptop & Accessory,1,Single,5,0,0.0,142.72
11.0,13.0,3,Mobile,3,Married,3,1,7.0,126.55
1.0,9.0,4,Mobile,3,Single,4,0,1.0,159.85
1.0,9.0,4,Mobile,3,Single,3,0,3.0,152.83
23.0,6.0,4,Mobile,3,Divorced,3,0,2.0,136.9
1.0,11.0,6,Fashion,2,Divorced,3,0,7.0,229.0
9.0,6.0,3,Laptop & Accessory,4,Married,1,0,5.0,152.28
10.0,19.0,3,Laptop & Accessory,1,Married,2,0,7.0,142.85
20.0,20.0,3,Laptop & Accessory,5,Single,3,0,7.0,149.6
5.0,9.0,6,Mobile,2,Married,6,1,1.0,152.78
1.0,31.0,4,Mobile,4,Married,3,1,1.0,149.08
19.0,36.0,4,Fashion,1,Divorced,6,1,7.0,218.8
28.0,12.0,4,Others,5,Married,6,0,3.0,319.06
4.0,36.0,4,Laptop & Accessory,5,Married,10,0,4.0,166.15
10.0,33.0,1,Laptop & Accessory,3,Single,5,1,3.0,163.97
0.0,6.0,4,Laptop & Accessory,5,Divorced,6,0,0.0,142.98
21.0,33.0,4,Others,3,Married,5,0,1.0,321.58
13.0,6.0,4,Grocery,4,Married,2,0,11.0,235.03
11.0,7.0,4,Fashion,1,Married,4,1,3.0,261.03
26.0,12.0,3,Laptop & Accessory,2,Single,3,0,2.0,124.5
7.0,15.0,4,Laptop & Accessory,3,Married,2,0,3.0,196.04
10.0,6.0,3,Fashion,1,Single,5,0,2.0,174.91
1.0,30.0,4,Mobile,3,Single,6,1,3.0,120.28
0.0,11.0,3,Others,3,Married,7,0,0.0,283.03
11.0,13.0,4,Laptop & Accessory,2,Divorced,6,0,2.0,190.02
11.0,6.0,3,Laptop & Accessory,1,Married,8,0,9.0,147.35
9.0,25.0,4,Laptop & Accessory,3,Married,3,1,3.0,181.89
0.0,9.0,3,Mobile,5,Single,1,0,4.0,131.02
30.0,6.0,3,Laptop & Accessory,3,Divorced,3,0,2.0,167.55
12.0,13.0,4,Others,1,Married,2,0,3.0,292.72
15.0,10.0,3,Others,1,Married,2,0,15.0,292.32
3.0,10.0,4,Laptop & Accessory,3,Married,6,1,1.0,177.38
6.0,26.0,6,Fashion,3,Married,5,0,7.0,221.1
8.0,9.0,5,Laptop & Accessory,5,Divorced,8,0,10.0,184.57
18.0,10.0,4,Others,2,Divorced,6,1,2.0,320.13
1.0,11.0,5,Mobile,2,Divorced,2,0,5.0,156.62
13.0,15.0,3,Laptop & Accessory,5,Married,1,0,1.0,154.73
14.0,8.0,3,Grocery,5,Divorced,8,0,8.0,265.95
1.0,10.0,2,Mobile,2,Divorced,3,0,8.0,169.2
27.0,23.0,3,Fashion,3,Divorced,9,0,8.0,207.39
5.0,14.0,4,Fashion,1,Single,3,1,11.0,196.43
2.0,8.0,3,Grocery,1,Married,8,0,7.0,221.69
20.0,8.0,4,Mobile,5,Single,8,0,8.0,159.23
8.0,7.0,4,Laptop & Accessory,1,Married,1,0,0.0,153.63
28.0,8.0,5,Others,3,Divorced,5,0,11.0,291.87
5.0,6.0,4,Mobile,3,Divorced,7,0,7.0,122.58
17.0,28.0,4,Mobile,2,Divorced,9,0,3.0,147.58
5.0,9.0,4,Mobile,2,Married,2,1,3.0,151.95
15.0,12.0,2,Laptop & Accessory,4,Single,5,0,3.0,193.7
4.0,14.0,3,Laptop & Accessory,1,Single,2,0,8.0,144.24
14.0,15.0,3,Fashion,3,Married,4,1,7.0,181.89
2.0,13.5,3,Mobile,5,Divorced,8,1,2.0,124.04
1.0,7.0,5,Laptop & Accessory,1,Married,8,0,3.0,172.75
15.0,11.0,4,Mobile,3,Divorced,11,1,8.0,149.61
1.0,27.0,4,Fashion,3,Married,5,0,7.0,223.24
7.0,6.0,1,Mobile,2,Single,3,0,3.0,132.8
1.0,12.0,3,Laptop & Accessory,5,Married,3,0,6.0,165.0
9.0,8.0,4,Fashion,3,Married,2,0,0.0,175.96
11.0,16.0,6,Grocery,3,Married,9,0,11.0,254.36
3.0,27.0,4,Laptop & Accessory,1,Married,4,0,3.0,194.31
1.0,30.0,5,Laptop & Accessory,3,Married,3,0,9.0,160.4
1.0,8.0,6,Mobile,3,Single,3,0,1.0,138.59
19.0,6.0,4,Fashion,5,Married,3,1,5.0,206.73
1.0,7.0,3,Mobile,4,Single,2,1,2.0,123.02
5.0,15.0,4,Fashion,2,Married,3,0,10.0,232.93
19.0,16.0,4,Laptop & Accessory,4,Married,10,0,16.0,148.48
10.0,8.0,4,Laptop & Accessory,1,Married,6,0,0.0,151.63
21.0,22.0,3,Laptop & Accessory,3,Married,9,0,7.0,164.39
15.0,8.0,4,Laptop & Accessory,2,Single,4,0,0.0,167.81
22.0,24.0,4,Others,3,Married,2,1,9.0,295.02
18.0,9.0,2,Fashion,1,Married,3,1,8.0,203.79
26.0,7.0,4,Grocery,3,Married,5,1,7.0,229.65
14.0,11.0,5,Fashion,1,Married,9,0,12.0,233.55
9.0,17.0,4,Mobile,2,Married,3,0,3.0,164.17
19.0,8.0,3,Others,5,Single,4,0,1.0,289.47
19.0,9.0,4,Laptop & Accessory,3,Married,6,0,8.0,176.54
9.0,29.0,3,Laptop & Accessory,4,Married,5,0,2.0,120.42
1.0,17.0,4,Laptop & Accessory,2,Single,2,0,2.0,174.5
30.0,11.0,4,Fashion,4,Married,3,1,4.0,205.52
23.0,14.0,5,Fashion,3,Single,10,0,1.0,234.65
1.0,7.0,5,Mobile,4,Single,3,0,1.0,153.36
1.0,8.0,5,Mobile,5,Single,8,0,8.0,148.62
30.0,13.0,1,Laptop & Accessory,1,Married,1,1,9.0,152.2
11.0,8.0,6,Laptop & Accessory,1,Married,3,0,4.0,220.25
11.0,23.0,4,Fashion,3,Married,1,0,9.0,188.23
19.0,8.0,3,Fashion,1,Married,4,0,7.0,185.78
1.0,24.0,5,Mobile,4,Married,3,0,1.0,146.27
22.0,11.0,5,Fashion,3,Single,9,0,9.0,234.99
23.0,7.0,5,Grocery,3,Single,9,1,8.0,264.64
11.0,8.0,1,Laptop & Accessory,5,Single,7,1,12.0,159.8
2.0,16.0,4,Mobile,1,Married,3,0,5.0,145.7
25.0,9.0,6,Laptop & Accessory,4,Married,7,0,3.0,179.82
18.0,7.0,4,Laptop & Accessory,5,Married,7,1,4.0,179.54
0.0,14.0,3,Fashion,3,Single,2,0,7.0,187.26
8.0,16.0,3,Mobile,1,Married,2,0,2.0,139.17
2.0,13.0,3,Mobile,1,Married,5,0,7.0,125.14
14.0,8.0,4,Mobile,1,Married,10,0,1.0,149.06
1.0,12.0,5,Laptop & Accessory,3,Single,3,1,4.0,182.44
4.0,29.0,4,Laptop & Accessory,2,Divorced,1,0,8.0,155.82
19.0,30.0,4,Laptop & Accessory,5,Divorced,3,1,9.0,161.33
7.0,13.0,3,Mobile,1,Single,2,0,0.0,129.72
4.0,7.0,4,Mobile,3,Married,2,0,4.0,145.64
30.0,22.0,3,Laptop & Accessory,5,Single,9,0,2.0,154.05
1.0,9.0,5,Mobile,3,Single,3,0,3.0,145.44
11.0,16.0,3,Mobile,3,Divorced,1,0,2.0,126.84
0.0,13.0,1,Mobile,1,Married,1,0,7.0,125.44
28.0,32.0,1,Others,4,Married,5,1,4.0,296.36
18.0,26.0,5,Fashion,5,Married,3,1,7.0,208.51
2.0,15.0,4,Mobile,2,Single,1,0,2.0,139.83
24.0,6.0,3,Mobile,2,Divorced,2,0,0.0,127.23
8.0,29.0,5,Laptop & Accessory,1,Married,3,1,12.0,182.47
10.0,20.0,3,Mobile,5,Married,2,0,17.0,130.34
1.0,23.0,3,Laptop & Accessory,5,Married,2,0,8.0,145.58
7.0,17.0,4,Laptop & Accessory,4,Married,5,0,8.0,144.9
23.0,28.0,5,Grocery,1,Single,2,1,9.0,244.11
19.0,8.0,3,Laptop & Accessory,2,Married,3,0,4.0,173.79
0.0,10.0,3,Mobile,2,Single,2,1,2.0,128.75
10.0,13.0,3,Mobile,1,Married,2,1,2.0,123.26
1.0,16.0,4,Mobile,1,Single,3,0,3.0,151.1
16.0,30.0,3,Fashion,5,Single,7,1,2.0,204.48
4.0,8.0,4,Mobile,3,Married,2,0,4.0,145.64
16.0,9.0,2,Laptop & Accessory,5,Married,9,0,4.0,187.72
7.0,9.0,4,Mobile,2,Single,2,0,3.0,150.0
27.0,13.0,4,Laptop & Accessory,3,Married,4,1,6.0,148.06
0.0,13.0,3,Mobile,3,Married,2,0,3.0,125.17
1.0,6.0,5,Laptop & Accessory,2,Divorced,1,0,5.0,166.74
4.0,13.5,4,Mobile,3,Divorced,4,0,2.0,123.29
6.0,6.0,1,Grocery,3,Married,5,0,5.0,261.84
19.0,27.0,4,Grocery,1,Married,2,1,11.0,259.96
1.0,16.0,4,Mobile,3,Married,3,0,3.0,152.42
28.0,8.0,3,Fashion,4,Divorced,4,0,7.0,209.76
1.0,33.0,5,Laptop & Accessory,5,Married,1,0,0.0,0.0
5.0,14.0,5,Fashion,3,Divorced,3,0,7.0,214.43
26.0,10.0,5,Grocery,5,Divorced,3,0,17.0,293.56
12.0,9.0,5,Mobile,4,Single,3,0,4.0,149.4
4.0,26.0,3,Laptop & Accessory,3,Married,2,0,0.0,169.32
16.0,14.0,3,Laptop & Accessory,4,Married,5,0,0.0,147.65
4.0,9.0,5,Laptop & Accessory,1,Married,3,0,9.0,166.52
14.0,13.0,4,Grocery,1,Single,3,1,8.0,289.37
11.0,9.0,3,Laptop & Accessory,2,Single,9,1,0.0,168.61
26.0,36.0,4,Mobile,1,Married,4,0,1.0,159.82
10.0,16.0,5,Laptop & Accessory,4,Married,4,1,4.0,213.47
